W	Q2	S_{0+}		S_{1+}		S_{2+}		S_{3+}		S_{4+}		S_{5+}		S_{0-}		S_{1-}		S_{2-}		S_{3-}		S_{4-}		S_{5-}		E_{0+}		E_{1+}		E_{2+}		E_{3+}		E_{4+}		E_{5+}		E_{0-}		E_{1-}		E_{2-}		E_{3-}		E_{4-}		E_{5-}		M_{0+}		M_{1+}		M_{2+}		M_{3+}		M_{4+}		M_{5+}		M_{0-}		M_{1-}		M_{2-}		M_{3-}		M_{4-}		M_{5-}
1.2	0	10.149	-0.198	2.093	0.902	0.61	0.002	0.205	0	0.076	0	0.031	0	0	0	10.171	-0.163	-1.396	-0.025	-0.42	0	-0.132	0	-0.043	0	16.299	0.384	2.427	0.728	0.744	0.003	0.244	0	0.09	0	0.035	0	0	0	0	0	4.854	0.081	0.854	0.001	0.229	0	0.075	0	0	0	-13.292	-14.631	-0.444	-0.002	-0.147	0	-0.037	0	-0.012	0	0	0	5.083	-0.214	0.915	0.016	0.188	0.001	0.047	0	0.015	0
1.21	0	9.921	-0.287	1.862	0.926	0.631	0.003	0.218	0	0.083	0	0.034	0	0	0	10.063	-0.113	-1.444	-0.03	-0.448	0	-0.144	0	-0.049	0	15.855	0.302	2.175	0.671	0.755	0.004	0.253	0	0.095	0	0.038	0	0	0	0	0	4.967	0.1	0.891	0.002	0.243	0	0.082	0	0	0	-10.468	-16.994	-0.453	-0.002	-0.156	0	-0.041	0	-0.014	0	0	0	5.152	-0.22	0.956	0.02	0.201	0.001	0.052	0	0.016	0
1.22	0	9.7	-0.374	1.63	0.847	0.651	0.004	0.231	0	0.091	0	0.038	0	0	0	9.942	-0.051	-1.487	-0.036	-0.474	-0.001	-0.156	0	-0.055	0	15.445	0.223	1.957	0.528	0.761	0.004	0.262	0	0.1	0	0.041	0	0	0	0	0	5.067	0.122	0.926	0.002	0.257	0	0.089	0	0	0	-6.855	-17.952	-0.461	-0.003	-0.166	0	-0.044	0	-0.015	0	0	0	5.218	-0.219	0.994	0.025	0.214	0.001	0.056	0	0.018	0
1.23	0	9.482	-0.462	1.451	0.692	0.669	0.004	0.242	0	0.097	0	0.041	0	0	0	9.807	0.031	-1.526	-0.044	-0.5	-0.001	-0.166	0	-0.061	0	15.066	0.148	1.813	0.334	0.768	0.005	0.269	0	0.105	0	0.044	0	0	0	0	0	5.156	0.147	0.957	0.003	0.27	0	0.095	0	0	0	-3.344	-17.474	-0.465	-0.003	-0.176	0	-0.047	0	-0.016	0	0	0	5.28	-0.181	1.03	0.032	0.225	0.002	0.06	0	0.02	0
1.24	0	9.274	-0.549	1.347	0.507	0.686	0.005	0.252	0	0.103	0	0.045	0	0	0	9.66	0.125	-1.562	-0.053	-0.524	-0.001	-0.177	0	-0.066	0	14.714	0.075	1.746	0.138	0.772	0.006	0.274	0	0.109	0	0.047	0	0	0	0	0	5.236	0.175	0.987	0.004	0.282	0	0.101	0	0	0	-0.545	-16.043	-0.469	-0.005	-0.185	0	-0.049	0	-0.018	0	0	0	5.342	-0.149	1.066	0.04	0.238	0.002	0.064	0	0.021	0
1.25	0	9.069	-0.634	1.304	0.333	0.701	0.006	0.263	0	0.109	0	0.048	0	0	0	9.504	0.237	-1.593	-0.063	-0.547	-0.002	-0.188	0	-0.072	0	14.387	0.008	1.737	-0.028	0.774	0.007	0.28	0	0.113	0	0.049	0	0	0	0	0	5.311	0.208	1.013	0.006	0.292	0	0.107	0	0	0	1.396	-14.221	-0.47	-0.005	-0.195	0	-0.052	0	-0.019	0	0	0	5.402	-0.104	1.098	0.049	0.25	0.003	0.068	0	0.023	0
1.26	0	8.869	-0.719	1.305	0.182	0.715	0.007	0.272	0	0.115	0	0.052	0	0	0	9.334	0.366	-1.624	-0.075	-0.57	-0.004	-0.196	0	-0.077	0	14.085	-0.059	1.757	-0.158	0.775	0.007	0.284	0	0.117	0	0.052	0	0	0	0	0	5.379	0.245	1.037	0.007	0.302	0	0.112	0	0	0	2.607	-12.387	-0.47	-0.006	-0.202	0	-0.055	0	-0.021	0	0	0	5.463	-0.039	1.133	0.058	0.262	0.003	0.072	0	0.025	0
1.27	0	8.672	-0.803	1.327	0.063	0.726	0.008	0.281	0	0.12	0	0.055	0	0	0	9.149	0.512	-1.651	-0.089	-0.591	-0.004	-0.206	0	-0.082	0	13.804	-0.12	1.792	-0.253	0.775	0.008	0.288	0	0.12	0	0.054	0	0	0	0	0	5.442	0.287	1.06	0.008	0.312	0	0.116	0	0	0	3.294	-10.715	-0.47	-0.006	-0.211	0	-0.058	0	-0.022	0	0	0	5.519	0.047	1.165	0.07	0.273	0.004	0.075	0	0.027	0
1.28	0	8.482	-0.884	1.36	-0.032	0.737	0.008	0.29	0	0.126	0	0.058	0	0	0	8.945	0.677	-1.678	-0.104	-0.61	-0.005	-0.214	0	-0.088	0	13.543	-0.173	1.83	-0.321	0.775	0.008	0.291	0	0.123	0	0.056	0	0	0	0	0	5.504	0.334	1.08	0.009	0.321	0	0.121	0	0	0	3.63	-9.262	-0.469	-0.007	-0.219	0	-0.061	0	-0.024	0	0	0	5.572	0.157	1.199	0.083	0.285	0.005	0.079	0	0.028	0
1.29	0	8.295	-0.963	1.398	-0.104	0.748	0.009	0.297	0	0.131	0	0.061	0	0	0	8.719	0.857	-1.703	-0.12	-0.631	-0.006	-0.223	0	-0.093	0	13.3	-0.225	1.867	-0.37	0.772	0.009	0.294	0	0.126	0	0.058	0	0	0	0	0	5.564	0.387	1.1	0.01	0.327	0	0.125	0	0	0	3.746	-8.023	-0.464	-0.007	-0.227	-0.001	-0.063	0	-0.025	0	0	0	5.615	0.294	1.233	0.1	0.296	0.006	0.082	0	0.03	0
