W	Q2	S_{0+}		S_{1+}		S_{2+}		S_{3+}		S_{4+}		S_{5+}		S_{0-}		S_{1-}		S_{2-}		S_{3-}		S_{4-}		S_{5-}		E_{0+}		E_{1+}		E_{2+}		E_{3+}		E_{4+}		E_{5+}		E_{0-}		E_{1-}		E_{2-}		E_{3-}		E_{4-}		E_{5-}		M_{0+}		M_{1+}		M_{2+}		M_{3+}		M_{4+}		M_{5+}		M_{0-}		M_{1-}		M_{2-}		M_{3-}		M_{4-}		M_{5-}
1.9	1.3	1.435	-0.964	0.584	-0.273	0.15	-0.017	0.065	0.001	0.038	0	0.021	0	0	0	0.783	0.337	0.188	-0.012	0.173	-0.087	0.008	0	-0.014	0	-1.467	1.049	0.116	0.233	0.136	-0.017	0.054	0	0.026	0	0.013	0	0	0	0	0	0.525	0.007	0.077	-0.035	0.04	0	0	0	0	0	-0.118	-0.124	0.079	-0.008	-0.059	-0.059	0.011	0	-0.014	0	0	0	-0.759	-0.148	-1.19	-0.005	-0.224	0.095	0.021	0	0.009	0
1.91	1.3	1.439	-0.98	0.582	-0.264	0.15	-0.016	0.066	0	0.039	0	0.021	0	0	0	0.77	0.33	0.187	-0.012	0.168	-0.083	0.007	0	-0.014	0	-1.492	1.145	0.111	0.22	0.135	-0.017	0.054	0	0.026	0	0.013	0	0	0	0	0	0.526	0.003	0.078	-0.034	0.041	0	0	0	0	0	-0.117	-0.119	0.079	-0.008	-0.054	-0.057	0.012	0	-0.014	0	0	0	-0.742	-0.144	-1.194	-0.008	-0.219	0.091	0.021	0	0.009	0
1.92	1.3	1.447	-0.99	0.58	-0.254	0.151	-0.016	0.066	-0.001	0.039	0	0.021	0	0	0	0.756	0.323	0.186	-0.012	0.163	-0.078	0.007	0	-0.015	0	-1.547	1.233	0.107	0.208	0.135	-0.017	0.054	-0.001	0.027	0	0.014	0	0	0	0	0	0.525	-0.001	0.079	-0.034	0.041	0	0	0	0	0	-0.116	-0.115	0.077	-0.008	-0.051	-0.054	0.011	0	-0.014	0	0	0	-0.725	-0.139	-1.197	-0.009	-0.213	0.086	0.021	0	0.009	0
1.93	1.3	1.464	-0.998	0.578	-0.246	0.15	-0.016	0.067	-0.002	0.04	0	0.022	0	0	0	0.744	0.317	0.185	-0.011	0.157	-0.074	0.007	0	-0.015	0	-1.63	1.307	0.102	0.197	0.134	-0.016	0.055	-0.002	0.027	0	0.014	0	0	0	0	0	0.526	-0.003	0.082	-0.032	0.041	0	0	0	0	0	-0.113	-0.11	0.074	-0.008	-0.048	-0.05	0.011	0	-0.014	0	0	0	-0.707	-0.133	-1.2	-0.013	-0.207	0.082	0.021	0	0.009	0
1.94	1.3	1.485	-0.999	0.576	-0.238	0.151	-0.016	0.068	-0.003	0.041	0	0.021	0	0	0	0.73	0.311	0.182	-0.012	0.153	-0.072	0.007	0	-0.015	0	-1.736	1.36	0.098	0.187	0.133	-0.016	0.056	-0.002	0.027	0	0.014	0	0	0	0	0	0.525	-0.007	0.082	-0.031	0.041	0	0	0	0	0	-0.111	-0.107	0.074	-0.008	-0.044	-0.046	0.011	0	-0.015	0	0	0	-0.692	-0.128	-1.206	-0.016	-0.202	0.081	0.022	0	0.009	0
1.95	1.3	1.509	-0.993	0.573	-0.23	0.15	-0.016	0.069	-0.004	0.041	0	0.021	0	0	0	0.718	0.305	0.182	-0.012	0.148	-0.069	0.007	0	-0.015	0	-1.856	1.384	0.094	0.178	0.132	-0.015	0.057	-0.003	0.027	0	0.014	0	0	0	0	0	0.525	-0.01	0.084	-0.03	0.041	0	0	0	0	0	-0.107	-0.103	0.072	-0.008	-0.042	-0.041	0.011	0	-0.015	0	0	0	-0.675	-0.122	-1.21	-0.02	-0.197	0.077	0.024	0	0.009	0
1.96	1.3	1.533	-0.98	0.57	-0.223	0.15	-0.016	0.07	-0.005	0.041	0	0.022	0	0	0	0.706	0.297	0.181	-0.012	0.144	-0.066	0.007	0	-0.016	0	-1.98	1.379	0.091	0.168	0.132	-0.015	0.057	-0.003	0.027	0	0.014	0	0	0	0	0	0.524	-0.011	0.085	-0.029	0.041	0	0	0	0	0	-0.105	-0.1	0.07	-0.008	-0.04	-0.038	0.011	0	-0.015	0	0	0	-0.661	-0.116	-1.213	-0.024	-0.192	0.075	0.023	0	0.009	0
1.97	1.3	1.558	-0.958	0.567	-0.217	0.15	-0.016	0.071	-0.006	0.042	0	0.022	0	0	0	0.693	0.292	0.181	-0.011	0.14	-0.064	0.006	0	-0.016	0	-2.101	1.346	0.087	0.16	0.132	-0.015	0.058	-0.004	0.027	0	0.014	0	0	0	0	0	0.522	-0.013	0.087	-0.028	0.041	0	0	0	0	0	-0.102	-0.096	0.069	-0.009	-0.04	-0.033	0.011	0	-0.015	0	0	0	-0.645	-0.11	-1.218	-0.028	-0.188	0.072	0.024	0	0.009	0
1.98	1.3	1.578	-0.931	0.564	-0.209	0.15	-0.016	0.072	-0.006	0.042	0	0.023	0	0	0	0.682	0.285	0.179	-0.011	0.136	-0.062	0.006	0	-0.016	0	-2.209	1.288	0.085	0.151	0.132	-0.015	0.058	-0.004	0.028	0	0.014	0	0	0	0	0	0.521	-0.016	0.087	-0.027	0.042	0	0	0	0	0	-0.097	-0.094	0.067	-0.009	-0.039	-0.03	0.009	0	-0.015	0	0	0	-0.631	-0.105	-1.223	-0.033	-0.185	0.071	0.024	0	0.01	0
1.99	1.3	1.594	-0.9	0.56	-0.203	0.15	-0.016	0.073	-0.007	0.043	0	0.023	0	0	0	0.67	0.28	0.179	-0.012	0.132	-0.059	0.005	0	-0.016	0	-2.3	1.214	0.082	0.144	0.131	-0.015	0.058	-0.005	0.028	0	0.014	0	0	0	0	0	0.52	-0.016	0.09	-0.026	0.042	0	0.001	0	0	0	-0.092	-0.091	0.066	-0.009	-0.039	-0.026	0.01	0	-0.016	0	0	0	-0.616	-0.101	-1.227	-0.035	-0.18	0.068	0.024	0	0.011	0
2	1.3	1.607	-0.865	0.557	-0.198	0.15	-0.015	0.074	-0.007	0.043	0	0.024	0	0	0	0.658	0.273	0.179	-0.011	0.129	-0.058	0.005	0	-0.016	0	-2.372	1.129	0.079	0.138	0.131	-0.015	0.058	-0.005	0.028	0	0.014	0	0	0	0	0	0.518	-0.017	0.09	-0.025	0.042	0	0.002	0	0	0	-0.088	-0.089	0.064	-0.009	-0.038	-0.023	0.009	0	-0.017	0	0	0	-0.603	-0.095	-1.232	-0.04	-0.176	0.067	0.025	0	0.011	0
1.08	1.35	0.771	-0.023	0.219	0	0	0	0	0	0	0	0	0	0	0	1.21	0	0.011	0	-0.001	0	0	0	0	0	2.493	0.079	0.193	0	-0.001	0	0	0	0	0	0	0	0	0	0	0	0.032	0	-0.002	0	0	0	0	0	0	0	-0.862	-0.001	0.022	0	-0.002	0	0	0	0	0	0	0	-1.674	0	0	0	0	0	0	0	0	0
1.09	1.35	0.85	-0.074	0.334	0.004	0.001	0	0	0	0	0	0	0	0	0	1.815	-0.005	0.025	0	-0.002	0	0	0	0	0	2.547	0.262	0.293	0.002	-0.003	0	0.001	0	0	0	0	0	0	0	0	0	0.075	0	-0.006	0	0.001	0	0	0	0	0	-1.412	-0.016	0.049	0	-0.005	0	0.001	0	0	0	0	0	-2.463	0.007	0.002	0	0	0	0	0	0	0
1.1	1.35	0.924	-0.099	0.412	0.012	0.003	0	0.001	0	0	0	0	0	0	0	2.198	-0.015	0.037	0	-0.005	0	0.001	0	0	0	2.599	0.346	0.36	0.007	-0.003	0	0.002	0	0	0	0	0	0	0	0	0	0.114	0	-0.012	0	0.002	0	0	0	0	0	-1.869	-0.058	0.074	0	-0.009	0	0.002	0	0	0	0	0	-2.919	0.02	0.003	0	0	0	0	0	0	0
1.11	1.35	0.994	-0.122	0.474	0.025	0.005	0	0.001	0	0	0	0	0	0	0	2.477	-0.025	0.049	0	-0.007	0	0.001	0	0	0	2.649	0.406	0.411	0.014	-0.002	0	0.003	0	0	0	0	0	0	0	0	0	0.149	0	-0.018	0	0.003	0	0	0	0	0	-2.308	-0.134	0.095	0	-0.016	0	0.003	0	0	0	0	0	-3.224	0.032	0.004	0	0	0	0	0	0	0
1.12	1.35	1.058	-0.143	0.529	0.044	0.007	0	0.001	0	0	0	0	0	0	0	2.695	-0.036	0.059	0	-0.01	0	0.001	0	0	0	2.696	0.454	0.452	0.025	0	0	0.004	0	0	0	0	0	0	0	0	0	0.18	-0.001	-0.023	0	0.004	0	-0.001	0	0	0	-2.758	-0.257	0.115	0	-0.02	0	0.003	0	-0.001	0	0	0	-3.439	0.045	0.004	0	0	0	0	0	0	0
1.13	1.35	1.117	-0.164	0.579	0.072	0.008	0	0.001	0	0	0	0	0	0	0	2.875	-0.046	0.068	0	-0.013	0	0.003	0	0	0	2.742	0.493	0.488	0.039	0.001	0	0.005	0	0	0	0	0	0	0	0	0	0.21	0	-0.029	0	0.006	0	-0.001	0	0	0	-3.232	-0.448	0.131	0	-0.024	0	0.004	0	-0.001	0	0	0	-3.594	0.054	0.006	0	0.001	0	0	0	0	0
1.14	1.35	1.171	-0.186	0.626	0.109	0.009	0	0.001	0	0	0	0	0	0	0	3.026	-0.053	0.076	0	-0.016	0	0.003	0	0	0	2.785	0.526	0.519	0.057	0.003	0	0.006	0	0	0	0	0	0	0	0	0	0.235	0	-0.033	0	0.007	0	-0.002	0	0	0	-3.738	-0.731	0.146	0	-0.029	0	0.006	0	-0.001	0	0	0	-3.709	0.06	0.007	0	0.001	0	0	0	0	0
1.15	1.35	1.222	-0.206	0.668	0.159	0.011	0	0.001	0	0.001	0	0	0	0	0	3.156	-0.059	0.083	0	-0.017	0	0.004	0	-0.001	0	2.828	0.553	0.544	0.081	0.006	0	0.006	0	0	0	0	0	0	0	0	0	0.258	-0.001	-0.038	0	0.008	0	-0.003	0	0	0	-4.271	-1.148	0.159	0	-0.033	0	0.007	0	-0.002	0	0	0	-3.796	0.061	0.008	0	0.002	0	0	0	0	0
1.16	1.35	1.267	-0.229	0.702	0.226	0.014	0	0.002	0	0.001	0	0	0	0	0	3.272	-0.06	0.09	0	-0.02	0	0.004	0	-0.001	0	2.869	0.576	0.561	0.109	0.009	0	0.007	0	0	0	0	0	0	0	0	0	0.28	0	-0.042	0	0.01	0	-0.001	0	0	0	-4.802	-1.745	0.168	0	-0.037	0	0.008	0	-0.003	0	0	0	-3.861	0.055	0.01	0.002	0.002	0	0	0	0	0
1.17	1.35	1.308	-0.25	0.72	0.312	0.015	0	0.002	0	0.001	0	0	0	0	0	3.378	-0.058	0.095	0	-0.023	0	0.006	0	-0.001	0	2.91	0.595	0.569	0.144	0.012	0	0.008	0	0	0	0	0	0	0	0	0	0.299	-0.001	-0.045	0	0.011	0	-0.002	0	0	0	-5.266	-2.574	0.179	0	-0.04	0	0.01	0	-0.003	0	0	0	-3.912	0.044	0.012	0.002	0.004	0	0	0	0	0
1.18	1.35	1.345	-0.272	0.711	0.412	0.018	0	0.003	0	0.001	0	0	0	0	0	3.476	-0.05	0.099	0.001	-0.024	0	0.006	0	-0.001	0	2.948	0.612	0.562	0.182	0.016	0	0.008	0	0	0	0	0	0	0	0	0	0.317	-0.002	-0.048	0	0.012	0	-0.003	0	0	0	-5.532	-3.66	0.186	0	-0.044	0	0.009	0	-0.003	0	0	0	-3.95	0.025	0.015	0.003	0.006	0	0	0	0	0
1.19	1.35	1.377	-0.293	0.659	0.516	0.021	0	0.003	0	0.001	0	0	0	0	0	3.567	-0.037	0.105	0	-0.026	0	0.006	0	-0.001	0	2.987	0.626	0.536	0.217	0.019	0	0.009	0	0	0	0	0	0	0	0	0	0.333	-0.002	-0.051	0	0.014	0	-0.003	0	0	0	-5.416	-4.939	0.193	0	-0.047	0	0.011	0	-0.004	0	0	0	-3.981	0	0.018	0.003	0.007	0	0	0	0	0
1.2	1.35	1.406	-0.316	0.558	0.601	0.022	0	0.004	0	0.001	0	0	0	0	0	3.653	-0.016	0.109	0	-0.028	0	0.007	0	-0.001	0	3.025	0.638	0.49	0.239	0.023	0	0.009	0	0	0	0	0	0	0	0	0	0.348	-0.003	-0.054	0	0.014	0	-0.004	0	0	0	-4.744	-6.201	0.199	0	-0.05	0	0.012	0	-0.003	0	0	0	-4.005	-0.033	0.022	0.006	0.008	0	0	0	0	0
1.21	1.35	1.432	-0.338	0.419	0.64	0.025	0	0.005	0	0.001	0	0	0	0	0	3.737	0.011	0.111	0.001	-0.03	0	0.007	0	-0.001	0	3.065	0.651	0.434	0.233	0.027	0	0.01	0	0	0	0	0	0	0	0	0	0.362	-0.003	-0.056	0	0.016	0	-0.004	0	0	0	-3.517	-7.115	0.205	0	-0.053	0	0.013	0	-0.003	0	0	0	-4.023	-0.076	0.026	0.006	0.009	0	0	0	0	0
1.22	1.35	1.451	-0.361	0.272	0.618	0.028	0	0.006	0	0.001	0	0	0	0	0	3.82	0.049	0.115	0.001	-0.033	0	0.007	0	-0.001	0	3.103	0.66	0.381	0.203	0.03	0	0.011	0	0	0	0.001	0	0	0	0	0	0.373	-0.004	-0.059	0	0.016	0	-0.005	0	0	0	-1.997	-7.436	0.209	0	-0.055	0	0.014	0	-0.003	0	0	0	-4.039	-0.127	0.031	0.008	0.01	0	0	0	0	0
1.23	1.35	1.468	-0.383	0.152	0.55	0.029	0	0.006	0	0.001	0	0	0	0	0	3.897	0.11	0.118	0.001	-0.034	0	0.007	0	-0.001	0	3.143	0.67	0.348	0.155	0.033	0	0.011	0	0	0	0.001	0	0	0	0	0	0.384	-0.005	-0.061	0	0.016	0	-0.005	0	0	0	-0.553	-7.173	0.214	0	-0.057	0	0.015	0	-0.004	0	0	0	-4.047	-0.197	0.037	0.011	0.011	0	0	0	0	0
1.24	1.35	1.481	-0.405	0.072	0.46	0.032	0	0.007	0	0.002	0	0	0	0	0	3.973	0.176	0.119	0.001	-0.037	0	0.008	0	-0.003	0	3.184	0.679	0.335	0.103	0.039	0	0.012	0	0	0	0.001	0	0	0	0	0	0.394	-0.007	-0.062	0	0.018	0	-0.006	0	0	0	0.576	-6.538	0.216	-0.001	-0.06	0	0.015	0	-0.004	0	0	0	-4.053	-0.273	0.043	0.014	0.013	0	0	0	0	0
1.25	1.35	1.491	-0.428	0.029	0.371	0.035	0	0.008	0	0	0	0	0	0	0	4.044	0.254	0.122	0.002	-0.04	0	0.009	0	-0.003	0	3.224	0.689	0.338	0.055	0.041	0	0.013	0	0	0	0.001	0	0	0	0	0	0.403	-0.007	-0.064	0	0.019	0	-0.006	0	0	0	1.341	-5.762	0.219	-0.001	-0.062	0	0.016	0	-0.004	0	0	0	-4.056	-0.362	0.05	0.017	0.014	0.001	0	0	0	0
1.26	1.35	1.496	-0.449	0.015	0.29	0.038	0	0.008	0	0.001	0	0	0	0	0	4.112	0.351	0.122	0.002	-0.042	0	0.009	0	-0.003	0	3.268	0.698	0.354	0.015	0.045	0	0.014	0	0	0	0.001	0	0	0	0	0	0.41	-0.009	-0.064	0	0.02	0	-0.005	0	0	0	1.804	-4.994	0.221	-0.001	-0.063	0	0.015	0	-0.005	0	0	0	-4.051	-0.464	0.058	0.02	0.015	0.001	0	0	0	0
1.27	1.35	1.498	-0.471	0.015	0.223	0.04	0.001	0.008	0	0.001	0	0	0	0	0	4.173	0.465	0.124	0.002	-0.043	0	0.009	0	-0.003	0	3.313	0.708	0.373	-0.016	0.049	0	0.015	0	0.001	0	0.001	0	0	0	0	0	0.416	-0.011	-0.066	-0.001	0.019	0	-0.005	0	0	0	2.052	-4.301	0.222	0	-0.065	0	0.016	0	-0.005	0	0	0	-4.038	-0.58	0.068	0.025	0.018	0.001	0	0	0	0
1.28	1.35	1.496	-0.494	0.025	0.169	0.042	0.001	0.009	0	0.001	0	0	0	0	0	4.222	0.599	0.125	0.002	-0.046	-0.002	0.009	0	-0.003	0	3.359	0.718	0.395	-0.039	0.052	0.001	0.016	0	0.001	0	0.001	0	0	0	0	0	0.422	-0.014	-0.067	-0.001	0.02	0	-0.006	0	0	0	2.158	-3.706	0.223	-0.001	-0.066	0	0.016	0	-0.005	0	0	0	-4.013	-0.711	0.079	0.031	0.02	0.001	0	0	0	0
1.29	1.35	1.492	-0.516	0.041	0.126	0.046	0	0.01	0	0.001	0	0	0	0	0	4.259	0.754	0.125	0.002	-0.049	-0.002	0.009	0	-0.003	0	3.408	0.73	0.418	-0.056	0.057	0.001	0.016	0	0.001	0	0.001	0	0	0	0	0	0.425	-0.016	-0.066	0	0.021	0	-0.006	0	0	0	2.177	-3.201	0.223	0	-0.068	0	0.016	0	-0.006	0	0	0	-3.974	-0.858	0.091	0.039	0.021	0.001	0	0	0	0
1.3	1.35	1.483	-0.539	0.057	0.09	0.049	0	0.011	0	0.002	0	0	0	0	0	4.272	0.935	0.125	0.003	-0.05	-0.002	0.009	0	-0.003	0	3.46	0.751	0.438	-0.071	0.06	0.001	0.018	0	0.001	0	0.001	0	0	0	0	0	0.429	-0.02	-0.067	0	0.022	0	-0.006	0	0	0	2.146	-2.772	0.224	0	-0.07	0	0.017	0	-0.006	0	0	0	-3.915	-1.019	0.104	0.046	0.024	0.002	0	0	0	0
1.31	1.35	1.47	-0.561	0.075	0.062	0.05	0.001	0.012	0	0.002	0	0	0	0	0	4.26	1.132	0.124	0.002	-0.053	-0.002	0.011	0	-0.003	0	3.516	0.767	0.459	-0.081	0.063	0.001	0.019	0	0.002	0	0.001	0	0	0	0	0	0.429	-0.023	-0.068	0	0.023	0	-0.006	0	0	0	2.076	-2.416	0.224	0	-0.071	0	0.017	0	-0.006	0	0	0	-3.829	-1.191	0.119	0.057	0.027	0.002	0	0	0	0
1.32	1.35	1.454	-0.583	0.094	0.039	0.053	0.001	0.013	0	0.002	0	0	0	0	0	4.21	1.352	0.123	0.003	-0.056	-0.002	0.011	0	-0.003	0	3.575	0.787	0.479	-0.089	0.066	0.001	0.02	0	0.002	0	0.001	0	0	0	0	0	0.431	-0.027	-0.068	0	0.022	0	-0.006	0	0	0	1.989	-2.112	0.224	0	-0.073	0	0.017	0	-0.006	0	0	0	-3.713	-1.37	0.136	0.068	0.029	0.002	0	0	0	0
1.33	1.35	1.433	-0.605	0.11	0.02	0.057	0.001	0.014	0	0.002	0	0	0	0	0	4.113	1.579	0.124	0.002	-0.059	-0.003	0.011	0	-0.004	0	3.638	0.809	0.497	-0.094	0.071	0.001	0.021	0	0.002	0	0.001	0	0	0	0	0	0.429	-0.032	-0.068	0	0.023	0	-0.006	0	0	0	1.89	-1.853	0.223	0	-0.074	-0.001	0.018	0	-0.006	0	0	0	-3.56	-1.549	0.156	0.08	0.031	0.003	0	0	0	0
1.34	1.35	1.409	-0.626	0.126	0.004	0.059	0	0.016	0	0.003	0	0.001	0	0	0	3.964	1.808	0.121	0.003	-0.061	-0.003	0.011	0	-0.004	0	3.709	0.837	0.515	-0.099	0.074	0.001	0.022	0	0.003	0	0.001	0	0	0	0	0	0.426	-0.038	-0.068	0	0.023	0	-0.006	0	0	0	1.788	-1.63	0.223	-0.001	-0.075	-0.001	0.018	0	-0.006	0	0	0	-3.365	-1.715	0.177	0.097	0.035	0.003	0	0	0	0
1.35	1.35	1.378	-0.649	0.141	-0.009	0.061	0	0.016	0	0.003	0	0.001	0	0	0	3.762	2.02	0.12	0.003	-0.065	-0.004	0.011	0	-0.004	0	3.785	0.869	0.531	-0.102	0.077	0.001	0.023	0	0.003	0	0.001	0	0	0	0	0	0.422	-0.046	-0.069	0	0.024	0	-0.007	0	0	0	1.685	-1.437	0.222	0	-0.077	-0.001	0.018	0	-0.006	0	0	0	-3.132	-1.855	0.201	0.117	0.038	0.004	0.001	0	0	0
1.36	1.35	1.344	-0.671	0.154	-0.02	0.064	0	0.018	0	0.004	0	0.001	0	0	0	3.51	2.199	0.116	0.001	-0.068	-0.005	0.011	0	-0.004	0	3.869	0.907	0.547	-0.104	0.08	0.001	0.024	0	0.004	0	0.001	0	0	0	0	0	0.416	-0.054	-0.068	-0.001	0.024	0	-0.007	0	0	0	1.58	-1.269	0.221	0	-0.078	-0.001	0.018	0	-0.007	0	0	0	-2.87	-1.958	0.228	0.14	0.042	0.005	0.002	0	0	0
1.37	1.35	1.305	-0.695	0.168	-0.029	0.067	0	0.018	0	0.004	0	0.001	0	0	0	3.223	2.33	0.115	0.001	-0.072	-0.005	0.011	0	-0.004	0	3.962	0.952	0.562	-0.106	0.082	0.002	0.025	0	0.004	0	0.001	0	0	0	0	0	0.409	-0.066	-0.069	-0.001	0.025	0	-0.007	0	0	0	1.478	-1.121	0.221	0	-0.079	-0.001	0.019	0	-0.007	0	0	0	-2.592	-2.01	0.258	0.168	0.045	0.005	0.002	0	0	0
1.38	1.35	1.259	-0.72	0.18	-0.036	0.07	0.001	0.019	0	0.004	0	0.001	0	0	0	2.925	2.402	0.111	0	-0.075	-0.005	0.011	0	-0.004	0	4.065	1.006	0.577	-0.106	0.087	0.002	0.026	0	0.004	0	0.002	0	0	0	0	0	0.4	-0.078	-0.068	0	0.025	0	-0.007	0	0	0	1.379	-0.991	0.219	0	-0.08	-0.001	0.019	0	-0.007	0	0	0	-2.319	-2.012	0.291	0.203	0.049	0.006	0.002	0	0	0
1.39	1.35	1.206	-0.748	0.19	-0.042	0.073	0.001	0.02	0	0.005	0	0.001	0	0	0	2.63	2.416	0.107	-0.002	-0.08	-0.007	0.011	0	-0.004	0	4.181	1.07	0.591	-0.106	0.089	0.002	0.026	0	0.005	0	0.002	0	0	0	0	0	0.387	-0.095	-0.068	0	0.025	0	-0.007	0	0	0	1.283	-0.875	0.218	0.001	-0.081	-0.001	0.019	0	-0.007	0	0	0	-2.067	-1.967	0.328	0.245	0.053	0.007	0.002	0	0	0
1.4	1.35	1.146	-0.776	0.199	-0.048	0.075	0.001	0.022	0	0.005	0	0.002	0	0	0	2.359	2.379	0.102	-0.004	-0.085	-0.008	0.012	0	-0.004	0	4.31	1.148	0.605	-0.106	0.092	0.002	0.028	0	0.005	0	0.002	0	0	0	0	0	0.373	-0.116	-0.068	-0.001	0.025	0	-0.007	0	0	0	1.188	-0.772	0.217	0	-0.082	-0.001	0.019	0	-0.007	0	0	0	-1.846	-1.887	0.369	0.297	0.058	0.008	0.002	0	0.001	0
1.41	1.35	1.077	-0.81	0.209	-0.053	0.078	0.001	0.023	0	0.006	0	0.002	0	0	0	2.12	2.306	0.098	-0.007	-0.089	-0.009	0.012	0	-0.004	0	4.458	1.245	0.618	-0.105	0.094	0.004	0.028	0	0.006	0	0.002	0	0	0	0	0	0.357	-0.142	-0.068	-0.001	0.025	0	-0.008	0	0	0	1.098	-0.681	0.215	0	-0.082	-0.002	0.019	0	-0.008	0	0	0	-1.661	-1.784	0.412	0.361	0.063	0.009	0.002	0	0.001	0
1.42	1.35	0.998	-0.849	0.216	-0.058	0.081	0.002	0.025	0	0.007	0	0.002	0	0	0	1.915	2.205	0.091	-0.011	-0.094	-0.01	0.012	0	-0.004	0	4.627	1.363	0.632	-0.103	0.097	0.005	0.029	0	0.006	0	0.002	0	0	0	0	0	0.341	-0.175	-0.068	-0.001	0.026	0	-0.008	0	0	0	1.011	-0.598	0.214	0.001	-0.083	-0.002	0.02	0	-0.008	0	0	0	-1.51	-1.67	0.458	0.442	0.069	0.01	0.002	0	0.001	0
1.43	1.35	0.907	-0.895	0.223	-0.061	0.084	0.002	0.025	0	0.007	0	0.002	0	0	0	1.746	2.091	0.086	-0.016	-0.099	-0.012	0.012	0	-0.004	0	4.82	1.51	0.646	-0.099	0.099	0.005	0.031	0	0.007	0	0.002	0	0	0	0	0	0.325	-0.219	-0.068	-0.002	0.026	0	-0.008	0	0	0	0.925	-0.524	0.212	0.002	-0.084	-0.002	0.02	0	-0.008	0	0	0	-1.391	-1.554	0.503	0.542	0.075	0.012	0.002	0	0.001	0
1.44	1.35	0.799	-0.952	0.229	-0.063	0.087	0.003	0.027	0	0.007	0	0.003	0	0	0	1.606	1.97	0.079	-0.025	-0.107	-0.015	0.012	0	-0.004	0	5.043	1.698	0.659	-0.097	0.103	0.005	0.033	0	0.007	0	0.003	0	0	0	0	0	0.309	-0.273	-0.069	-0.001	0.027	0	-0.008	0	0	0	0.845	-0.459	0.211	0.001	-0.085	-0.002	0.019	0	-0.008	0	0	0	-1.296	-1.439	0.544	0.668	0.082	0.013	0.002	0	0.001	0
1.45	1.35	0.673	-1.025	0.235	-0.066	0.088	0.003	0.028	0	0.008	0	0.003	0	0	0	1.491	1.85	0.073	-0.033	-0.113	-0.016	0.012	0	-0.005	0	5.303	1.943	0.671	-0.092	0.105	0.005	0.034	0	0.008	0	0.003	0	0	0	0	0	0.301	-0.341	-0.068	-0.002	0.027	0	-0.006	0	0	0	0.766	-0.401	0.209	0.002	-0.086	-0.003	0.019	0	-0.008	0	0	0	-1.222	-1.33	0.571	0.826	0.088	0.017	0.003	0	0.001	0
1.46	1.35	0.524	-1.122	0.239	-0.067	0.091	0.003	0.028	0	0.008	0	0.003	0	0	0	1.397	1.732	0.067	-0.047	-0.12	-0.018	0.012	0	-0.005	0	5.603	2.269	0.684	-0.088	0.107	0.006	0.035	0	0.008	0	0.003	0	0	0	0	0	0.302	-0.428	-0.069	-0.003	0.027	0	-0.006	0	0	0	0.691	-0.347	0.207	0.003	-0.087	-0.003	0.018	0	-0.008	0	0	0	-1.164	-1.23	0.575	1.02	0.096	0.019	0.003	0	0.001	0
1.47	1.35	0.346	-1.258	0.241	-0.069	0.093	0.002	0.03	0	0.009	0	0.003	0	0	0	1.319	1.621	0.063	-0.064	-0.127	-0.021	0.012	0	-0.005	0	5.949	2.716	0.697	-0.082	0.109	0.006	0.035	0	0.008	0	0.003	0	0	0	0	0	0.327	-0.529	-0.069	-0.002	0.028	0	-0.006	0	0	0	0.619	-0.301	0.206	0.003	-0.088	-0.003	0.018	0	-0.008	0	0	0	-1.115	-1.138	0.532	1.251	0.105	0.022	0.003	0	0.001	0
1.48	1.35	0.132	-1.453	0.243	-0.071	0.095	0.003	0.031	0	0.009	0	0.003	0	0	0	1.253	1.516	0.063	-0.082	-0.136	-0.025	0.012	0	-0.005	0	6.318	3.355	0.709	-0.074	0.11	0.007	0.037	0	0.009	0	0.004	0	0	0	0	0	0.382	-0.643	-0.069	-0.002	0.028	0	-0.006	0	0	0	0.55	-0.261	0.204	0.004	-0.089	-0.003	0.018	0	-0.008	0	0	0	-1.079	-1.052	0.421	1.508	0.114	0.026	0.003	0	0.001	0
1.49	1.35	0.091	-1.853	0.244	-0.074	0.098	0.004	0.033	0	0.01	0	0.004	0	0	0	1.198	1.418	0.069	-0.106	-0.146	-0.029	0.012	0	-0.005	0	6.017	4.425	0.721	-0.067	0.112	0.007	0.037	0	0.009	0	0.004	0	0	0	0	0	0.483	-0.753	-0.07	-0.004	0.029	0	-0.006	0	0	0	0.485	-0.226	0.202	0.004	-0.09	-0.004	0.018	0	-0.008	0	0	0	-1.046	-0.973	0.214	1.762	0.124	0.03	0.003	0	0.001	0
1.5	1.35	0.3	-2.302	0.244	-0.074	0.1	0.005	0.034	0	0.011	0	0.004	0	0	0	1.151	1.327	0.082	-0.127	-0.156	-0.034	0.013	0	-0.005	0	5.239	5.378	0.734	-0.057	0.115	0.008	0.038	0	0.009	0	0.004	0	0	0	0	0	0.631	-0.84	-0.071	-0.004	0.027	0	-0.006	0	0	0	0.423	-0.195	0.2	0.006	-0.09	-0.004	0.018	0	-0.008	0	0	0	-1.021	-0.902	-0.093	1.963	0.135	0.036	0.005	0	0.002	0
