W,Q2,L0+Re,L0+Im,L1+Re,L1+Im,L2+Re,L2+Im,L3+Re,L3+Im,L4+Re,L4+Im,L5+Re,L5+Im,L0-Re,L0-Im,L1-Re,L1-Im,L2-Re,L2-Im,L3-Re,L3-Im,L4-Re,L4-Im,L5-Re,L5-Im,E0+Re,E0+Im,E1+Re,E1+Im,E2+Re,E2+Im,E3+Re,E3+Im,E4+Re,E4+Im,E5+Re,E5+Im,E0-Re,E0-Im,E1-Re,E1-Im,E2-Re,E2-Im,E3-Re,E3-Im,E4-Re,E4-Im,E5-Re,E5-Im,M0+Re,M0+Im,M1+Re,M1+Im,M2+Re,M2+Im,M3+Re,M3+Im,M4+Re,M4+Im,M5+Re,M5+Im,M0-Re,M0-Im,M1-Re,M1-Im,M2-Re,M2-Im,M3-Re,M3-Im,M4-Re,M4-Im,M5-Re,M5-Im,
1.61,4.3,0.0462625,0.00216856,0.00939708,-0.00108428,0.00325283,-0.00108428,0.000361426,0.000361426,-0,-0,-0,-0,-0,-0,-0.0343355,-0.0140956,0.00108428,0.000361426,0.00108428,0.00216856,0.000361426,-0,-0,-0,0.174,0.785,0.032,0.006,0.008,0.003,0,-0.001,0.001,0,0,0,0,0,0,0,-0.003,-0.052,0.021,-0.011,-0.013,0,0.006,0,0,0,-0.043,0.001,-0.028,0.003,0.029,0.003,-0.008,0,0.005,0,0,0,-0.146,-0.291,-0.106,0.042,0.015,0.013,0.001,0,0,0,
1.62,4.3,0.0416015,-0.00853364,0.00924478,-0.000711137,0.00320011,-0.0010667,0.000355568,0.000355568,-0,-0,-0,-0,-0,-0,-0.0344901,-0.0124449,0.0010667,0.000711137,0.0010667,0.00284455,0.000355568,-0,-0,-0,0.206,0.812,0.033,0.005,0.007,0.003,0,-0.001,0.001,0,0,0,0,0,0,0,-0.003,-0.044,0.02,-0.013,-0.013,0,0.006,0,0,0,-0.033,0,-0.028,0.003,0.029,0.003,-0.008,0,0.005,0,0,0,-0.142,-0.277,-0.104,0.037,0.015,0.017,0.001,0,0,0,
1.63,4.3,0.0412666,-0.0167864,0.00944235,-0.000349717,0.00349717,-0.00104915,0.000349717,0.000349717,-0,-0,-0,-0,-0,-0,-0.0349717,-0.0104915,0.00104915,0.000349717,0.000349717,0.00314745,0.000349717,-0,-0,-0,0.227,0.867,0.034,0.005,0.006,0.003,0,-0.001,0.001,0,0,0,0,0,0,0,-0.004,-0.038,0.02,-0.017,-0.013,0,0.006,0,0,0,-0.026,-0.002,-0.028,0.003,0.029,0.003,-0.008,0,0.005,0,0,0,-0.138,-0.262,-0.101,0.033,0.014,0.02,0.001,0,0,0,
1.64,4.3,0.0433278,-0.0220078,0.00928453,0.000343871,0.00378259,-0.00103161,0.000343871,0.000343871,-0,-0,-0,-0,-0,-0,-0.0350749,-0.00928453,0.00103161,0.000343871,-0,0.00343871,0.000343871,-0,-0,-0,0.226,0.947,0.035,0.004,0.006,0.003,-0.001,-0.001,0.001,0,0,0,0,0,0,0,-0.005,-0.033,0.021,-0.02,-0.013,0,0.006,0,0,0,-0.018,-0.002,-0.027,0.002,0.03,0.004,-0.008,0,0.005,0,0,0,-0.136,-0.249,-0.099,0.029,0.012,0.023,0.001,0,0,0,
1.65,4.3,0.0469866,-0.0223102,0.0091269,0.0010141,0.0040564,-0.000676067,0.000338033,0.000338033,-0,-0,-0,-0,-0,-0,-0.0354935,-0.00777477,0.00135213,-0,-0.000676067,0.0040564,0.000338033,-0,-0,-0,0.194,1.049,0.035,0.005,0.005,0.002,-0.001,-0.001,0.001,0,0,0,0,0,0,0,-0.005,-0.027,0.024,-0.023,-0.013,0,0.006,0,0,0,-0.011,-0.003,-0.027,0.002,0.03,0.004,-0.008,0,0.005,0,0,0,-0.133,-0.236,-0.097,0.027,0.01,0.026,0.001,0,0,0,
1.66,4.3,0.0498304,-0.0179389,0.00896947,0.00132881,0.00431863,-0.000664405,0.000332203,0.000332203,-0,-0,-0,-0,-0,-0,-0.0362101,-0.00697625,0.000996608,-0,-0.00132881,0.00398643,0.000332203,-0,-0,-0,0.117,1.159,0.036,0.005,0.004,0.001,0,-0.001,0.001,0,0,0,0,0,0,0,-0.006,-0.022,0.028,-0.026,-0.013,0,0.006,0,0,0,-0.005,-0.005,-0.026,0.002,0.03,0.004,-0.008,0,0.005,0,0,0,-0.133,-0.226,-0.096,0.024,0.006,0.028,0.001,0,0,0,
1.67,4.3,0.0479778,-0.00979139,0.00881225,0.0016319,0.00424293,-0.00032638,0.00032638,0.00032638,-0,-0,-0,-0,-0,-0,-0.0368809,-0.00587483,0.000979139,-0,-0.0016319,0.00391655,0.00032638,-0,-0,-0,-0.011,1.258,0.037,0.004,0.004,0,0,-0.001,0.001,0,0,0,0,0,0,0,-0.006,-0.017,0.031,-0.026,-0.014,0,0.006,0,0,0,0,-0.005,-0.025,0.002,0.03,0.005,-0.008,0,0.005,0,0,0,-0.134,-0.217,-0.095,0.022,0.001,0.029,0.001,0,0,0,
1.68,4.3,0.0403912,-0.00128226,0.00897581,0.00192339,0.00384678,-0,0.000320565,0.000320565,-0,-0,-0,-0,-0,-0,-0.0371855,-0.00480847,0.00128226,-0.000320565,-0.00224395,0.00320565,0.000320565,-0,-0,-0,-0.189,1.32,0.037,0.005,0.003,0,0,-0.001,0.001,0,0,0,0,0,0,0,-0.008,-0.013,0.036,-0.026,-0.014,0,0.006,0,0,0,0.006,-0.005,-0.024,0.001,0.03,0.005,-0.008,0,0.005,0,0,0,-0.134,-0.207,-0.093,0.02,-0.003,0.028,0.001,0,0,0,
1.69,4.3,0.0283283,0.00283283,0.00849848,0.00283283,0.00409186,-0,0.000314759,0.000314759,-0,-0,-0,-0,-0,-0,-0.037771,-0.00409186,0.00125903,-0.000314759,-0.00283283,0.00314759,0.000314759,-0,-0,-0,-0.397,1.317,0.036,0.004,0.004,-0.001,0,-0.001,0.001,0,0,0,0,0,0,0,-0.009,-0.008,0.038,-0.025,-0.014,0,0.006,0,0,0,0.012,-0.006,-0.023,0,0.03,0.005,-0.008,0,0.005,0,0,0,-0.136,-0.199,-0.093,0.018,-0.007,0.026,0.001,0,0,0,
1.7,4.3,0.0151391,0.00123585,0.00834196,0.00278065,0.00370754,0.000308961,0.000308961,0.000308961,-0,-0,-0,-0,-0,-0,-0.0386202,-0.00339857,0.00123585,-0,-0.00278065,0.00247169,0.000308961,-0,-0,-0,-0.596,1.24,0.037,0.004,0.005,-0.002,0,-0.001,0,0,0,0,0,0,0,0,-0.011,-0.003,0.041,-0.024,-0.014,0,0.006,0,0,0,0.018,-0.006,-0.023,0,0.03,0.005,-0.007,0,0.005,0,0,0,-0.137,-0.193,-0.091,0.016,-0.009,0.023,0.001,0,0,0,
1.71,4.3,0.00515395,-0.00424443,0.00788251,0.00333491,0.00333491,0.000606347,0.000303173,0.000303173,-0,-0,-0,-0,-0,-0,-0.0391094,-0.00333491,0.00151587,-0.000303173,-0.00303173,0.00181904,0.000303173,-0,-0,-0,-0.75,1.104,0.037,0.003,0.005,-0.002,0,-0.001,0,0,0,0,0,0,0,0,-0.012,0,0.043,-0.021,-0.014,0,0.006,0,0,0,0.022,-0.007,-0.022,0,0.03,0.006,-0.007,0,0.005,0,0,0,-0.141,-0.188,-0.091,0.015,-0.01,0.021,0.001,0,0,0,
1.72,4.3,-0.000892186,-0.011301,0.00773228,0.00327135,0.00327135,0.000594791,0.000297395,0.000297395,-0,-0,-0,-0,-0,-0,-0.0395536,-0.00327135,0.00148698,-0.000297395,-0.00297395,0.00178437,0.000297395,-0,-0,-0,-0.841,0.944,0.037,0.003,0.005,-0.003,0,-0.001,0.001,0,0,0,0,0,0,0,-0.014,0.004,0.044,-0.019,-0.014,0,0.006,0,0,0,0.028,-0.007,-0.021,0,0.03,0.007,-0.007,0,0.005,0,0,0,-0.144,-0.185,-0.089,0.013,-0.012,0.018,0.002,0,0,0,
1.73,4.3,-0.00408278,-0.0180809,0.00758231,0.00349953,0.00291627,0.000874882,0.000291627,0.000291627,-0,-0,-0,-0,-0,-0,-0.0396613,-0.00349953,0.00145814,-0.000291627,-0.00291627,0.00116651,0.000291627,-0,-0,-0,-0.879,0.789,0.036,0.003,0.007,-0.003,0,-0.001,0.001,0,0,0,0,0,0,0,-0.016,0.007,0.045,-0.017,-0.014,0,0.006,0,0,0,0.034,-0.007,-0.019,-0.001,0.03,0.007,-0.007,0,0.005,0,0,0,-0.147,-0.181,-0.089,0.012,-0.012,0.016,0.002,0,0,0,
1.74,4.3,-0.00514566,-0.0234413,0.00743261,0.00371631,0.00314457,0.000857609,0.00028587,0.00028587,-0,-0,-0,-0,-0,-0,-0.0397359,-0.00343044,0.00142935,-0.00028587,-0.0028587,0.00114348,0.00028587,-0,-0,-0,-0.879,0.654,0.035,0.002,0.006,-0.004,0,-0.001,0.001,0,0,0,0,0,0,0,-0.018,0.009,0.045,-0.015,-0.014,0,0.006,0,0,0,0.04,-0.007,-0.018,-0.001,0.03,0.007,-0.007,0,0.005,0,0,0,-0.15,-0.178,-0.088,0.011,-0.012,0.014,0.003,0,0,0,
1.75,4.3,-0.00476209,-0.0271719,0.00672295,0.00336148,0.00280123,0.000840369,-0,0.000280123,-0,-0,-0,-0,-0,-0,-0.0397775,-0.00336148,0.00168074,-0.000280123,-0.00280123,0.00112049,0.000280123,-0,-0,-0,-0.857,0.543,0.036,0.002,0.007,-0.004,0,-0.001,0.001,0,0,0,0,0,0,0,-0.02,0.013,0.045,-0.014,-0.014,0,0.006,0,0,0,0.045,-0.007,-0.018,-0.001,0.03,0.007,-0.007,0,0.005,0,0,0,-0.152,-0.176,-0.088,0.01,-0.012,0.012,0.003,0,0,0,
1.76,4.3,-0.00411581,-0.0301826,0.00685969,0.00356704,0.00274387,0.000823162,-0,0.000274387,-0,-0,-0,-0,-0,-0,-0.0395118,-0.00384142,0.00164632,-0.000274387,-0.00274387,0.000823162,0.000274387,-0,-0,-0,-0.823,0.455,0.035,0,0.007,-0.004,0,-0.001,0.001,0,0,0,0,0,0,0,-0.021,0.015,0.044,-0.012,-0.014,0,0.006,0,0,0,0.05,-0.007,-0.016,-0.002,0.028,0.008,-0.007,0,0.005,0,0,0,-0.153,-0.174,-0.087,0.01,-0.011,0.011,0.003,0,0,0,
1.77,4.3,-0.00349262,-0.0317023,0.00671659,0.00376129,0.00241797,0.00080599,-0,0.000537327,-0,-0,-0,-0,-0,-0,-0.0389562,-0.00376129,0.00188064,-0.000268663,-0.00241797,0.000537327,0.000268663,-0,-0,-0,-0.782,0.384,0.035,0,0.008,-0.004,0,-0.001,0.002,0,0,0,0,0,0,0,-0.023,0.017,0.045,-0.012,-0.014,0,0.006,0,0,0,0.055,-0.005,-0.015,-0.001,0.028,0.009,-0.007,0,0.005,0,0,0,-0.154,-0.172,-0.086,0.008,-0.01,0.009,0.003,0,0,0,
1.78,4.3,-0.00262951,-0.032606,0.00631083,0.00394427,0.00236656,0.000788854,-0,0.000525903,-0,-0,-0,-0,-0,-0,-0.0383909,-0.00368132,0.00184066,-0.000262951,-0.00236656,0.000525903,0.000262951,-0,-0,-0,-0.739,0.329,0.035,-0.001,0.008,-0.004,0.002,-0.001,0.002,0,0,0,0,0,0,0,-0.025,0.018,0.044,-0.011,-0.014,0,0.006,0,0,0,0.06,-0.005,-0.014,-0.001,0.027,0.009,-0.007,0,0.005,0,0,0,-0.154,-0.169,-0.086,0.007,-0.01,0.009,0.003,0,0,0,
1.79,4.3,-0.00180076,-0.0326709,0.00617403,0.00385877,0.00231526,0.000771754,-0,0.000514503,-0,-0,-0,-0,-0,-0,-0.0380732,-0.00385877,0.00180076,-0.000257251,-0.00231526,0.000514503,0.000257251,-0,-0,-0,-0.696,0.288,0.035,-0.003,0.008,-0.004,0.002,-0.001,0.002,0,0,0,0,0,0,0,-0.027,0.02,0.044,-0.01,-0.014,0,0.006,0,0,0,0.064,-0.005,-0.013,-0.001,0.027,0.009,-0.006,0,0.005,0,0,0,-0.154,-0.165,-0.085,0.007,-0.01,0.008,0.003,0,0,0,
1.8,4.3,-0.000754692,-0.0324517,0.00603753,0.00377346,0.00201251,0.000754692,-0,0.000503128,-0,-0,-0,-0,-0,-0,-0.0372314,-0.00377346,0.00176095,-0.000251564,-0.00201251,0.000503128,0.000251564,-0,-0,-0,-0.655,0.257,0.035,-0.003,0.009,-0.004,0.002,-0.001,0.002,0,0,0,0,0,0,0,-0.028,0.022,0.042,-0.01,-0.014,0,0.006,0,0,0,0.068,-0.004,-0.012,-0.001,0.026,0.009,-0.006,0,0.005,0,0,0,-0.152,-0.163,-0.085,0.007,-0.009,0.007,0.003,0,0,0,
